WBS Number,Title,Start,End,Duration hours,Duration,Effort hours,Effort,Completed,Task Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Start After,End Before,Prerequisites,Notes,Priority,Resources Cost,Total Task Cost
1,Phase 1,"2/27/23, 8:00 AM","3/22/23, 12:00 PM",140,3w 2d 4h,228,1mo 1w 3d 4h,0%,,,,,,,,,,,,,
1.1,Design,"2/27/23, 8:00 AM","3/3/23, 5:00 PM",40,1w,64,1w 3d,0%,,,,,,,,,,,,,
1.1.1,Task 1,"2/27/23, 8:00 AM","3/1/23, 5:00 PM",24,3d,24,3d,0%,,Staff 1,,,,,,,,,0,,
1.1.2,Task 2,"2/27/23, 8:00 AM","3/3/23, 5:00 PM",40,1w,40,1w,0%,,Staff 2,,,,,,,,,0,,
1.2,Implementation,"3/6/23, 8:00 AM","3/13/23, 12:00 PM",44,1w 4h,60,1w 2d 4h,0%,,,,,,,,,1.1,,,,
1.2.1,Task 1,"3/6/23, 8:00 AM","3/6/23, 12:00 PM",4,4h,4,4h,0%,,Staff 1,,,,,,,,,0,,
1.2.2,Task 2,"3/6/23, 8:00 AM","3/7/23, 5:00 PM",16,2d,16,2d,0%,,Staff 2,,,,,,,,,0,,
1.2.3,Task 3,"3/6/23, 1:00 PM","3/13/23, 12:00 PM",40,1w,40,1w,0%,,Staff 1,,,,,,,1.2.1,,0,,
1.3,Milestone 1,"3/13/23, 12:00 PM","3/13/23, 12:00 PM",,,,,0%,,,,,,,,,1.2,,,,
1.4,Implementation,"3/13/23, 1:00 PM","3/22/23, 12:00 PM",56,1w 2d,104,2w 3d,0%,,,,,,,,,1.3,,,,
1.4.1,Task 1,"3/13/23, 1:00 PM","3/20/23, 12:00 PM",40,1w,40,1w,0%,,Staff 1,,,,,,,,,0,,
1.4.2,Task 2,"3/13/23, 1:00 PM","3/22/23, 12:00 PM",56,1w 2d,56,1w 2d,0%,,Staff 2,,,,,,,,,0,,
1.4.3,Task 3,"3/20/23, 1:00 PM","3/21/23, 12:00 PM",8,1d,8,1d,0%,,Staff 1,,,,,,,,,0,,
1.5,Milestone 2,"3/22/23, 12:00 PM","3/22/23, 12:00 PM",,,,,0%,,,,,,,,,1.4,,,,
2,Phase 2,"3/22/23, 1:00 PM","3/29/23, 12:00 PM",40,1w,80,2w,0%,,,,,,,,,1,,,,
2.1,Planning,"3/22/23, 1:00 PM","3/29/23, 12:00 PM",40,1w,80,2w,0%,,Staff 1; Staff 2,,,,,,,,,0,,
